iter	RMSE
0	1588945.139
1	1519797.696
2	1450676.557
3	1390389.021
4	1331058.149
5	1280057.887
6	1228318.38
7	1179263.788
8	1139121.41
9	1104251.005
10	1073141.01
11	1037265.223
12	1007547.633
13	980073.6414
14	962680.9276
15	946821.9464
16	928434.866
17	907321.0991
18	884725.3544
19	858822.1439
20	838312.2162
21	820131.7188
22	803662.9303
23	788214.0138
24	776098.5476
25	767680.6325
26	756445.867
27	748267.0118
28	733637.5432
29	724358.2518
30	712375.8858
31	701693.8639
32	701599.6247
33	693911.5761
34	685939.2491
35	676020.2669
36	659719.1731
37	647412.1818
38	640117.8275
39	631917.9286
40	624630.8294
41	622519.4864
42	612450.9492
43	612096.0665
44	599358.0003
45	588935.4156
46	577216.9822
47	574994.4086
48	567036.217
49	556060.7844
50	550849.4542
51	543467.7671
52	540229.6246
53	540010.467
54	531481.3428
55	529337.0105
56	520897.8043
57	515130.6986
58	509383.6669
59	500198.6922
60	499175.3686
61	492197.2297
62	486092.8221
63	483813.9121
64	479545.5535
65	478793.5915
66	475670.226
67	470903.7742
68	464784.4132
69	455262.847
70	450393.0229
71	447940.6972
72	445267.9289
73	437958.94
74	435651.8054
75	432751.3543
76	431056.6798
77	429655.0758
78	429592.4505
79	424111.2461
80	417739.9053
81	416857.9759
82	411764.9828
83	406379.479
84	401389.4554
85	401332.4876
86	398889.9999
87	393803.0755
88	391653.0654
89	390177.8231
90	388212.8969
91	387730.2445
92	383978.7861
93	381521.0036
94	381478.6171
95	377711.4284
96	376718.1038
97	374636.5937
98	373674.0181
99	370596.0254
100	369148.387
101	366184.3425
102	363467.3153
103	362277.5099
104	361493.0012
105	360769.7007
106	358131.5863
107	355774.7152
108	354926.1398
109	353818.4414
110	352546.9356
111	351987.2649
112	348578.7231
113	346716.7858
114	344087.3055
115	341965.6108
116	341469.1242
117	339683.3433
118	338698.2153
119	336226.0737
120	335835.1748
121	333640.916
122	329370.233
123	327725.9107
124	326707.0019
125	325146.4192
126	324705.8825
127	322956.1722
128	320610.8618
129	320272.93
130	319120.0782
131	317369.6322
132	317274.1191
133	316265.1985
134	315111.1255
135	314332.0846
136	313587.3427
137	312675.1015
138	311863.9537
139	308845.814
140	307742.5323
141	306422.5953
142	306138.51
143	304119.1559
144	303518.3759
145	302865.491
146	302075.6717
147	301824.3547
148	300375.939
149	298837.6019
150	297498.4017
151	296946.0818
152	295186.5962
153	293960.9815
154	292740.1611
155	291383.2912
156	290199.8189
157	289114.0251
158	288902.6641
159	288447.386
160	287983.3508
161	286508.6716
162	285053.2635
163	284740.7102
164	282445.1516
165	281278.0186
166	280624.2254
167	279523.4688
168	277050.9266
169	276147.8094
170	274856.4304
171	274226.4682
172	273315.2264
173	271971.5203
174	271607.8099
175	271052.6977
176	270482.3342
177	268536.0334
178	267644.5187
179	267155.7538
180	266268.1744
181	265933.567
182	265261.7968
183	264060.4284
184	262996.8732
185	262655.9245
186	262019.6761
187	261712.0772
188	261335.3357
189	260424.2077
190	258974.7876
191	258586.8689
192	257686.8145
193	257133.3689
194	256965.4573
195	255728.307
196	254800.8294
197	253780.3689
198	252187.2565
199	251823.4614
200	251413.6656
201	249947.7429
202	248799.9726
203	247691.532
204	247437.1135
205	246970.759
206	246732.5233
207	245495.5885
208	244808.2479
209	244609.2393
210	243838.0992
211	243648.0898
212	243172.5016
213	241883.683
214	241091.8359
215	240548.0702
216	240111.1362
217	239290.8241
218	239057.0137
219	238527.1366
220	238152.5737
221	238105.1829
222	237679.2558
223	236884.3092
224	236706.3339
225	235320.5427
226	233396.473
227	233099.4421
228	232427.7245
229	232234.2938
230	231798.4192
231	230465.0128
232	229346.0358
233	228493.741
234	227819.3844
235	227408.5509
236	226898.4324
237	225899.3584
238	225226.786
239	224314.4054
240	224148.9165
241	223016.2567
242	222988.8598
243	222763.131
244	222354.0709
245	221740.7594
246	220732.5788
247	219108.6086
248	219014.9701
249	218107.0152
250	217959.4971
251	217399.0701
252	216315.5751
253	216280.7142
254	215516.1931
255	215414.7919
256	215294.3475
257	214939.7857
258	214663.1729
259	213496.5846
260	213249.3266
261	212882.9034
262	212466.0717
263	212311.3128
264	212216.4493
265	211090.85
266	210916.869
267	209797.7312
268	209432.2499
269	209078.5513
270	208414.4601
271	208351.7576
272	208063.04
273	207698.2831
274	206984.8147
275	206078.4433
276	205579.3835
277	204606.635
278	204569.3536
279	204161.4431
280	203586.0676
281	203282.3142
282	202704.5707
283	202626.0695
284	202227.9943
285	201802.7361
286	201125.5984
287	200820.0188
288	200614.7838
289	200055.4914
290	199657.274
291	199587.1846
292	199210.9486
293	198893.5741
294	198588.4785
295	197963.6217
296	197196.092
297	196585.4653
298	196104.2669
299	195972.841
300	194979.9584
301	194215.1554
302	193730.5554
303	193458.3054
304	193164.3514
305	192134.8935
306	191491.6033
307	190871.1637
308	190628.8999
309	190127.2547
310	189414.2904
311	188811.3298
312	188147.8235
313	187509.0923
314	187333.4202
315	186383.9827
316	185561.071
317	185254.3495
318	184666.9979
319	184494.0598
320	184117.7707
321	183669.4628
322	183450.379
323	183083.8299
324	182367.7016
325	182197.7583
326	181947.9812
327	181841.9854
328	181565.7948
329	181045.2916
330	180720.0896
331	180613.4139
332	180007.1932
333	179797.817
334	179223.9629
335	178909.7152
336	178609.496
337	178011.7746
338	177659.6554
339	177355.348
340	177110.641
341	177074.3787
342	176928.4699
343	176882.0448
344	176648.9402
345	176382.662
346	176362.7752
347	176132.3709
348	175776.168
349	175633.0747
350	175558.4168
351	175454.3206
352	175043.4801
353	174670.4744
354	174492.1998
355	174215.7838
356	174187.8943
357	173433.8319
358	173406.4066
359	173369.8459
360	172947.6081
361	172722.2892
362	172314.2221
363	172288.3844
364	171972.6694
365	171776.4687
366	171409.8632
367	171236.3149
368	171106.1412
369	170689.3002
370	170582.1656
371	170399.0387
372	169852.9185
373	169632.3261
374	169414.4449
375	169267.4118
376	168939.402
377	168806.1179
378	168546.319
379	168230.9875
380	168194.4551
381	167907.1348
382	167823.7024
383	167622.7487
384	167426.0329
385	167331.7804
386	167151.1152
387	167021.9618
388	166987.3349
389	166871.2524
390	166529.3579
391	166476.6873
392	165631.5183
393	165426.6565
394	165204.7569
395	164664.5588
396	164231.8881
397	164051.4397
398	163855.4104
399	163491.051
400	163285.0515
401	162999.4736
402	162792.0256
403	162725.2385
404	162640.7489
405	162597.4662
406	162220.7701
407	162175.2355
408	161541.2762
409	161458.6496
410	161284.5153
411	160864.5817
412	160597.2445
413	160426.1192
414	160342.1038
415	159953.3713
416	159896.1807
417	159577.3546
418	159248.8504
419	158964.487
420	158899.5491
421	158528.3543
422	158236.9069
423	158071.6941
424	157987.4808
425	157524.2406
426	157237.6271
427	157172.3579
428	156914.3161
429	156819.7257
430	156411.2612
431	156384.6076
432	156131.9992
433	155960.8372
434	155790.9958
435	155547.9012
436	154806.5934
437	154690.5368
438	154309.4461
439	154080.0392
440	153663.3672
441	153637.4707
442	153242.2836
443	153212.3149
444	153132.5683
445	152856.616
446	152610.0153
447	152446.3225
448	152372.6393
449	152134.5041
450	152033.2818
451	151876.5985
452	151754.92
453	151429.7875
454	151348.7699
455	151265.0861
456	151035.4117
457	150956.3634
458	150876.6807
459	150800.8127
460	149963.9629
461	149652.3506
462	149573.7022
463	149187.6989
464	148839.5498
465	148803.6908
466	148609.3714
467	148283.4745
468	148191.7211
469	148110.0466
470	147966.4905
471	147750.3061
472	147583.2866
473	147528.1807
474	147497.5409
475	147484.1029
476	147425.6111
477	147085.8661
478	146977.561
479	146945.0887
480	146063.3791
481	145896.85
482	145768.0014
483	145591.4503
484	145087.4414
485	144626.5518
486	144583.325
487	144553.2971
488	144360.9613
489	144158.5216
490	143780.6572
491	143565.2238
492	143247.3661
493	143136.8931
494	143117.6034
495	143009.2799
496	142760.5418
497	142303.5185
498	142076.6828
499	141976.341
500	141768.765
501	141547.3571
502	141286.3729
503	141101.2399
504	141046.9199
505	140866.4155
506	140471.6367
507	140168.2001
508	140089.7843
509	139935.1345
510	139857.4799
511	139650.4818
512	139300.7336
513	139155.7471
514	138921.0333
515	138845.318
516	138754.9399
517	138367.1309
518	138123.7795
519	137848.9317
520	137535.3574
521	137362.8791
522	137331.4358
523	137313.6082
524	136849.6844
525	136776.89
526	136451.4158
527	136290.7813
528	136143.1213
529	136090.7227
530	136026.535
531	135774.2183
532	135626.9753
533	135327.614
534	135294.356
535	135276.7177
536	135234.3275
537	135021.5401
538	134818.53
539	134763.9554
540	134618.3165
541	134294.1888
542	134017.1573
543	133829.414
544	133589.7725
545	133408.323
546	133339.9796
547	133277.3689
548	132970.0482
549	132900.6685
550	132694.4127
551	132543.7274
552	132274.7737
