iter	Passed	Remaining
0	54	109093
1	97	97050
2	145	97081
3	184	91883
4	221	88449
5	264	87989
6	306	87361
7	346	86195
8	417	92264
9	456	90941
10	505	91346
11	554	91912
12	617	94396
13	713	101208
14	751	99385
15	787	97669
16	833	97241
17	869	95726
18	904	94273
19	941	93219
20	978	92193
21	1016	91412
22	1054	90674
23	1091	89894
24	1127	89062
25	1162	88236
26	1195	87378
27	1241	87450
28	1278	86924
29	1314	86327
30	1369	86993
31	1414	86967
32	1438	85728
33	1476	85352
34	1513	84959
35	1553	84773
36	1591	84424
37	1630	84199
38	1668	83911
39	1705	83586
40	1743	83321
41	1782	83083
42	1832	83394
43	1912	85035
44	1946	84556
45	1979	84093
46	2015	83754
47	2050	83405
48	2089	83190
49	2123	82820
50	2157	82442
51	2192	82142
52	2226	81781
53	2254	81257
54	2289	80972
55	2324	80677
56	2359	80413
57	2394	80175
58	2433	80073
59	2469	79855
60	2492	79220
61	2526	78961
62	2559	78686
63	2592	78417
64	2626	78190
65	2643	77450
66	2680	77334
67	2727	77491
68	2776	77708
69	2811	77503
70	2844	77286
71	2881	77153
72	2914	76946
73	2949	76768
74	2996	76904
75	3036	76873
76	3077	76847
77	3111	76680
78	3140	76359
79	3174	76178
80	3207	75998
81	3242	75834
82	3279	75740
83	3324	75819
84	3359	75695
85	3377	75159
86	3410	74986
87	3446	74881
88	3479	74719
89	3514	74581
90	3550	74483
91	3578	74214
92	3613	74091
93	3649	74000
94	3673	73658
95	3707	73541
96	3741	73405
97	3776	73290
98	3809	73146
99	3844	73036
100	3878	72920
101	3912	72796
102	3946	72687
103	3979	72551
104	4012	72425
105	4047	72311
106	4083	72238
107	4123	72234
108	4169	72338
109	4216	72452
110	4253	72385
111	4292	72356
112	4327	72261
113	4363	72186
114	4399	72117
115	4439	72107
116	4473	71993
117	4508	71914
118	4543	71814
119	4580	71759
120	4613	71638
121	4647	71539
122	4682	71461
123	4716	71361
124	4751	71271
125	4788	71217
126	4831	71252
127	4886	71469
128	4921	71379
129	4957	71308
130	4991	71221
131	5029	71173
132	5068	71144
133	5103	71063
134	5138	70984
135	5171	70884
136	5207	70808
137	5240	70713
138	5273	70606
139	5332	70840
140	5370	70808
141	5422	70952
142	5457	70870
143	5492	70789
144	5526	70697
145	5554	70533
146	5587	70435
147	5621	70344
148	5654	70242
149	5688	70155
150	5721	70060
151	5756	69992
152	5794	69946
153	5828	69869
154	5863	69798
155	5897	69712
156	5931	69631
157	5966	69553
158	5999	69468
159	6034	69391
160	6068	69317
161	6103	69253
162	6138	69176
163	6174	69119
164	6210	69069
165	6245	69004
166	6287	69015
167	6322	68949
168	6357	68877
169	6391	68807
170	6430	68776
171	6463	68697
172	6504	68696
173	6544	68679
174	6578	68605
175	6613	68538
176	6647	68469
177	6682	68403
178	6717	68334
179	6751	68269
